osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
4506120,68,244,Aiquile,C,,1521142,aiquile,BO-C-Aiquile,,"{""area_sr"": 0.23261, ""area_km2"": 2722, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 52.2, ""side_estim_deg"": 0.4823, ""elongation_factor"": 1.95}"
4506107,68,241,Alalay,C,,1521154,alalay,BO-C-Alalay,,"{""area_sr"": 0.03601, ""area_km2"": 423, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 20.6, ""side_estim_deg"": 0.1898, ""elongation_factor"": 1.53}"
4505759,68,219,Anzaldo,C,,1516966,anzaldo,BO-C-Anzaldo,,"{""area_sr"": 0.05498, ""area_km2"": 645, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 25.4, ""side_estim_deg"": 0.2345, ""elongation_factor"": 1.76}"
4505812,68,249,Arani,C,,1816566,arani,BO-C-Arani,,"{""area_sr"": 0.01838, ""area_km2"": 216, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 14.7, ""side_estim_deg"": 0.1356, ""elongation_factor"": 1.16}"
4505763,68,220,Arbieto,C,,1516960,arbieto,BO-C-Arbieto,,"{""area_sr"": 0.01248, ""area_km2"": 147, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 12.1, ""side_estim_deg"": 0.1117, ""elongation_factor"": 2.25}"
4505715,68,216,Arque,C,,1521216,arque,BO-C-Arque,,"{""area_sr"": 0.04394, ""area_km2"": 516, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 22.7, ""side_estim_deg"": 0.2096, ""elongation_factor"": 1.95}"
4505604,68,209,Ayopaya,C,,1485787,ayopaya,BO-C-Ayopaya,,"{""area_sr"": 0.12827, ""area_km2"": 1510, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 38.9, ""side_estim_deg"": 0.3582, ""elongation_factor"": 1.99}"
4505716,68,217,Bolivar,C,,1952875,bolivar,BO-C-Bolivar,,"{""area_sr"": 0.06156, ""area_km2"": 722, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 26.9, ""side_estim_deg"": 0.2481, ""elongation_factor"": 1.94}"
4505765,68,221,Capinota,C,,1730823,capinota,BO-C-Capinota,,"{""area_sr"": 0.04593, ""area_km2"": 539, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 23.2, ""side_estim_deg"": 0.2143, ""elongation_factor"": 1.63}"
4505885,68,236,Chimore,C,,1521093,chimore,BO-C-Chimore,,"{""area_sr"": 0.2356, ""area_km2"": 2783, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 52.8, ""side_estim_deg"": 0.4854, ""elongation_factor"": 4.74}"
