osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
4509376,68,256,Camargo,H,,1141966,camargo,BO-H-Camargo,,
4509404,68,260,Culpina,H,,637538,culpina,BO-H-Culpina,,
4507932,68,293,"El Villar",H,,1142208,el.villar,BO-H-ElVillar,,
4509405,68,261,Huacaya,H,,1141996,huacaya,BO-H-Huacaya,,
4507906,68,287,Icla,H,,1142203,icla,BO-H-Icla,,
4509377,68,257,Incahuasi,H,,1142260,incahuasi,BO-H-Incahuasi,,
4509406,68,262,"Las Carretas",H,,1142273,las.carretas,BO-H-LasCarretas,,
4509407,68,263,Machareti,H,,1142267,machareti,BO-H-Machareti,,
4509408,68,264,Monteagudo,H,,914026,monteagudo,BO-H-Monteagudo,,
4507933,68,250,Padilla,H,,1142006,padilla,BO-H-Padilla,,
4507877,68,247,Poroma,H,,182203,poroma,BO-H-Poroma,,
4507907,68,288,Presto,H,,1585103,presto,BO-H-Presto,,
4509375,68,255,"San Lucas",H,,783480,san.lucas,BO-H-SanLucas,,
4509409,68,265,"San Pablo de Huacareta",H,,1142195,san.pablo.huacareta,BO-H-SanPabloHuacareta,,
4507934,68,251,Sopachuy,H,,1142253,sopachuy,BO-H-Sopachuy,,
4507878,68,248,Sucre,H,,1304750,sucre,BO-H-Sucre,,
4507914,68,291,Tarabuco,H,,1860776,tarabuco,BO-H-Tarabuco,,
4509410,68,266,Tarvita,H,,1142233,tarvita,BO-H-Tarvita,,
4507935,68,252,Tomina,H,,633697,tomina,BO-H-Tomina,,
4509411,68,267,"Villa Abecia",H,,1142199,villa.abecia,BO-H-VillaAbecia,,
4507936,68,253,"Villa Alcala",H,,955703,villa.alcala,BO-H-VillaAlcala,,
4509412,68,268,"Villa Azurduy",H,,1585034,villa.azurduy,BO-H-VillaAzurduy,,
4509378,68,259,"Villa Charcas",H,,1146801,villa.charcas,BO-H-VillaCharcas,,
4507908,68,289,"Villa Mojocoya",H,,1142257,villa.mojocoya,BO-H-VillaMojocoya,,
4507937,68,254,"Villa Serrano",H,,1953257,villa.serrano,BO-H-VillaSerrano,,
4509413,68,269,"Villa Vaca Guzman",H,,121543,villa.vaca.guzman,BO-H-VillaVacaGuzman,,
4507915,68,292,Yamparaez,H,,2599274,yamparaez,BO-H-Yamparaez,,
4507879,68,286,Yotala,H,,1142025,yotala,BO-H-Yotala,,
4507909,68,290,Zudañez,H,,1142243,zudanez,BO-H-Zudanez,,
