osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
4500356,68,168,Achacachi,L,,1819965,achacachi,BO-L-Achacachi,,"{""area_sr"": 0.06172, ""area_km2"": 731, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 27, ""side_estim_deg"": 0.2484, ""elongation_factor"": 2.66}"
4499868,68,163,Achocalla,L,,1552057,achocalla,BO-L-Achocalla,,"{""area_sr"": 0.01495, ""area_km2"": 177, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 13.3, ""side_estim_deg"": 0.1223, ""elongation_factor"": 2.26}"
4499791,68,154,"Alto Beni",L,,1952850,alto.beni,BO-L-AltoBeni,,"{""area_sr"": 0.08807, ""area_km2"": 1045, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 32.3, ""side_estim_deg"": 0.2968, ""elongation_factor"": 2.24}"
4500357,68,169,Ancoraimes,L,,224511,ancoraimes,BO-L-Ancoraimes,,"{""area_sr"": 0.02763, ""area_km2"": 327, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 18.1, ""side_estim_deg"": 0.1662, ""elongation_factor"": 1.58}"
4499594,68,138,Apolo,L,,2307341,apolo,BO-L-Apolo,,"{""area_sr"": 1.16827, ""area_km2"": 13925, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 118, ""side_estim_deg"": 1.0809, ""elongation_factor"": 2.15}"
4499718,68,143,Aucapata,L,,287053,aucapata,BO-L-Aucapata,,"{""area_sr"": 0.0203, ""area_km2"": 241, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 15.5, ""side_estim_deg"": 0.1425, ""elongation_factor"": 1.33}"
4499719,68,144,Ayata,L,,1544657,ayata,BO-L-Ayata,,"{""area_sr"": 0.05604, ""area_km2"": 666, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 25.8, ""side_estim_deg"": 0.2367, ""elongation_factor"": 2.59}"
4500834,68,189,"Ayo Ayo",L,,490965,ayo.ayo,BO-L-AyoAyo,,"{""area_sr"": 0.04147, ""area_km2"": 489, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 22.1, ""side_estim_deg"": 0.2036, ""elongation_factor"": 1.89}"
4500399,68,27,Batallas,L,,631626,batallas,BO-L-Batallas,,"{""area_sr"": 0.08299, ""area_km2"": 982, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 31.3, ""side_estim_deg"": 0.2881, ""elongation_factor"": 1.71}"
4502103,68,193,Cairoma,L,,1552096,cairoma,BO-L-Cairoma,,"{""area_sr"": 0.04586, ""area_km2"": 541, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 23.3, ""side_estim_deg"": 0.2141, ""elongation_factor"": 1.74}"
