osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
4123549,68,45,Acasio,P,,1477964,acasio,BO-P-Acasio,,
4123465,68,61,Arampampa,P,,1477973,arampampa,BO-P-Arampampa,,
4137627,68,67,Atocha,P,,1477927,atocha,BO-P-Atocha,,
4128143,68,81,Betanzos,P,,1477951,betanzos,BO-P-Betanzos,,
4128593,68,83,"Caiza D",P,,637609,caiza.d,BO-P-CaizaD,,
4123740,68,63,Caripuyo,P,,1477999,caripuyo,BO-P-Caripuyo,,
4128144,68,65,Chaquí,P,,637599,chaqui,BO-P-Chaqui,,
4126927,68,64,Chayanta,P,,1784443,chayanta,BO-P-Chayanta,,
4137592,68,88,"Colcha K",P,,475470,colcha.k,BO-P-ColchaK,,
4126993,68,72,Colquechaca,P,,933162,colquechaca,BO-P-Colquechaca,,
4137628,68,68,Cotagaita,P,,637643,cotagaita,BO-P-Cotagaita,,
4126928,68,66,Llallagua,P,,624490,llallagua,BO-P-Llallagua,,
4134802,68,85,Llica,P,,1016542,llica,BO-P-Llica,,
4137593,68,89,Mojinete,P,,1783667,mojinete,BO-P-Mojinete,,
4126994,68,73,Ocurí,P,,1784436,ocuri,BO-P-Ocuri,,
4126995,68,74,Pocoata,P,,1477914,pocoata,BO-P-Pocoata,,
4137629,68,93,Porco,P,,628665,porco,BO-P-Porco,,
4127118,68,76,Potosí,P,,1335276,potosi,BO-P-Potosi,,
4128594,68,84,Puna,P,,637655,puna,BO-P-Puna,,
4126996,68,75,Ravelo,P,,1477747,ravelo,BO-P-Ravelo,,
4123687,68,62,Sacaca,P,,1477919,sacaca,BO-P-Sacaca,,
4137630,68,77,"San Agustin",P,,1953135,san.agustin,BO-P-SanAgustin,,
4137594,68,90,"San Antonio de Esmoruco",P,,1477933,san.antonio.esmoruco,BO-P-SanAntonioEsmoruco,,
4137595,68,91,"San Pablo de Lipez",P,,1477898,san.pablo.lipez,BO-P-SanPabloLipez,,
4126936,68,70,"San Pedro",P,,624522,san.pedro,BO-P-SanPedro,,
4136111,68,87,"San Pedro de Quemes",P,,540223,san.pedro.quemes,BO-P-SanPedroQuemes,,
4128145,68,82,Tacobamba,P,,637620,tacobamba,BO-P-Tacobamba,,
4135011,68,86,Tahua,P,,1477909,tahua,BO-P-Tahua,,
4127119,68,78,Tinguipaya,P,,1477957,tinguipaya,BO-P-Tinguipaya,,
4137631,68,94,Tomave,P,,1477902,tomave,BO-P-Tomave,,
4126937,68,71,"Toro Toro",P,,624520,toro.toro,BO-P-ToroToro,,
4137632,68,95,Tupiza,P,,1477662,tupiza,BO-P-Tupiza,,
4126929,68,69,Uncía,P,,1642052,uncia,BO-P-Uncia,,
4127120,68,79,Urmiri,P,,1478062,urmiri,BO-P-Urmiri,,
4137633,68,96,Uyuni,P,,1478014,uyuni,BO-P-Uyuni,,
4137626,68,92,Villazón,P,,15835839,villazon,BO-P-Villazon,,
4137634,68,97,Vitichi,P,,1533308,vitichi,BO-P-Vitichi,,
4127121,68,80,Yocalla,P,,1477980,yocalla,BO-P-Yocalla,,
