osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
4511239,68,281,"Ascencion de Guarayos",S,,721682,ascencion.guarayos,BO-S-AscencionGuarayos,,"{""area_sr"": 0.72931, ""area_km2"": 8666, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 93.1, ""side_estim_deg"": 0.854, ""elongation_factor"": 3.6}"
4511356,68,297,Boyuibe,S,,515092,boyuibe,BO-S-Boyuibe,,"{""area_sr"": 0.14337, ""area_km2"": 1659, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 40.7, ""side_estim_deg"": 0.3786, ""elongation_factor"": 1.95}"
3381198,68,20,"Buena Vista",S,,1001758,buena.vista,BO-S-BuenaVista,,"{""area_sr"": 0.19523, ""area_km2"": 2292, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 47.9, ""side_estim_deg"": 0.4418, ""elongation_factor"": 2.07}"
4511357,68,298,Cabezas,S,,1024796,cabezas,BO-S-Cabezas,,"{""area_sr"": 0.43304, ""area_km2"": 5063, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 71.2, ""side_estim_deg"": 0.6581, ""elongation_factor"": 2.08}"
4511358,68,299,Camiri,S,,1029614,camiri,BO-S-Camiri,,"{""area_sr"": 0.08951, ""area_km2"": 1037, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 32.2, ""side_estim_deg"": 0.2992, ""elongation_factor"": 1.9}"
4511326,68,13,"Carmen Rivero Torrez",S,,1108271,carmen.rivero.torrez,BO-S-CarmenRiveroTorrez,,"{""area_sr"": 0.93724, ""area_km2"": 10955, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 104.7, ""side_estim_deg"": 0.9681, ""elongation_factor"": 1.25}"
4511359,68,300,Charagua,S,,598031,charagua,BO-S-Charagua,,"{""area_sr"": 6.09979, ""area_km2"": 71044, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 266.5, ""side_estim_deg"": 2.4698, ""elongation_factor"": 1.84}"
4511496,68,318,"Colpa Bélgica",S,,1108206,colpa.belgica,BO-S-ColpaBelgica,,"{""area_sr"": 0.02483, ""area_km2"": 292, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 17.1, ""side_estim_deg"": 0.1576, ""elongation_factor"": 1.58}"
4511408,68,307,Comarapa,S,,1108148,comarapa,BO-S-Comarapa,,"{""area_sr"": 0.24398, ""area_km2"": 2863, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 53.5, ""side_estim_deg"": 0.4939, ""elongation_factor"": 2.13}"
4511254,68,284,Concepción,S,,751077,concepcion,BO-S-Concepcion,,"{""area_sr"": 2.9506, ""area_km2"": 35071, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 187.3, ""side_estim_deg"": 1.7177, ""elongation_factor"": 2.13}"
4511523,68,328,Cotoca,S,,603654,cotoca,BO-S-Cotoca,,"{""area_sr"": 0.05282, ""area_km2"": 620, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 24.9, ""side_estim_deg"": 0.2298, ""elongation_factor"": 0.99}"
4511272,68,2,"Cuatro Cañadas",S,,1142846,cuatro.canadas,BO-S-CuatroCanadas,,"{""area_sr"": 0.38206, ""area_km2"": 4497, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 67.1, ""side_estim_deg"": 0.6181, ""elongation_factor"": 2.05}"
4511360,68,301,Cuevo,S,,1143259,cuevo,BO-S-Cuevo,,"{""area_sr"": 0.07552, ""area_km2"": 873, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 29.5, ""side_estim_deg"": 0.2748, ""elongation_factor"": 1.56}"
4511240,68,282,"El Puente",S,,1324520,el.puente,BO-S-ElPuente,,"{""area_sr"": 0.56594, ""area_km2"": 6694, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 81.8, ""side_estim_deg"": 0.7523, ""elongation_factor"": 3.15}"
4511524,68,329,"El Torno",S,,1108171,el.torno,BO-S-ElTorno,,"{""area_sr"": 0.08211, ""area_km2"": 962, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 31, ""side_estim_deg"": 0.2865, ""elongation_factor"": 1.97}"
4511508,68,321,"Fernández Alonso",S,,371664,fernandez.alonso,BO-S-FernandezAlonso,,"{""area_sr"": 0.06451, ""area_km2"": 761, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 27.6, ""side_estim_deg"": 0.254, ""elongation_factor"": 1.62}"
4511509,68,322,"General Saavedra",S,,993949,general.saavedra,BO-S-GeneralSaavedra,,"{""area_sr"": 0.04499, ""area_km2"": 530, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 23, ""side_estim_deg"": 0.2121, ""elongation_factor"": 1.79}"
4511361,68,302,Gutiérrez,S,,1108247,gutierrez,BO-S-Gutierrez,,"{""area_sr"": 0.24704, ""area_km2"": 2873, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 53.6, ""side_estim_deg"": 0.497, ""elongation_factor"": 2.34}"
4511525,68,330,"La Guardia",S,,541436,la.guardia,BO-S-LaGuardia,,"{""area_sr"": 0.08141, ""area_km2"": 954, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 30.9, ""side_estim_deg"": 0.2853, ""elongation_factor"": 2.82}"
4511362,68,303,Lagunillas,S,,1108235,lagunillas,BO-S-Lagunillas,,"{""area_sr"": 0.09687, ""area_km2"": 1124, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 33.5, ""side_estim_deg"": 0.3112, ""elongation_factor"": 2.54}"
4511437,68,309,Mairana,S,,1108209,mairana,BO-S-Mairana,,"{""area_sr"": 0.0787, ""area_km2"": 923, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 30.4, ""side_estim_deg"": 0.2805, ""elongation_factor"": 2.72}"
4511510,68,323,Mineros,S,,602690,mineros,BO-S-Mineros,,"{""area_sr"": 0.03568, ""area_km2"": 420, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 20.5, ""side_estim_deg"": 0.1889, ""elongation_factor"": 2.59}"
4511511,68,324,Montero,S,,990706,montero,BO-S-Montero,,"{""area_sr"": 0.02681, ""area_km2"": 315, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 17.8, ""side_estim_deg"": 0.1637, ""elongation_factor"": 1.75}"
4511477,68,313,"Moro Moro",S,,1107963,moro.moro,BO-S-MoroMoro,,"{""area_sr"": 0.06049, ""area_km2"": 708, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 26.6, ""side_estim_deg"": 0.2459, ""elongation_factor"": 2.08}"
4511520,68,326,"Okinawa Uno",S,,1108266,okinawa.uno,BO-S-OkinawaUno,,"{""area_sr"": 0.08796, ""area_km2"": 1035, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 32.2, ""side_estim_deg"": 0.2966, ""elongation_factor"": 2.01}"
4511315,68,10,Pailón,S,,1108279,pailon,BO-S-Pailon,,"{""area_sr"": 1.16974, ""area_km2"": 13731, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 117.2, ""side_estim_deg"": 1.0815, ""elongation_factor"": 1.5}"
4511438,68,310,"Pampa Grande",S,,1108240,pampa.grande,BO-S-PampaGrande,,"{""area_sr"": 0.12221, ""area_km2"": 1433, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 37.9, ""side_estim_deg"": 0.3496, ""elongation_factor"": 2.75}"
4511526,68,331,Porongo,S,,1108169,porongo,BO-S-Porongo,,"{""area_sr"": 0.08013, ""area_km2"": 941, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 30.7, ""side_estim_deg"": 0.2831, ""elongation_factor"": 1.64}"
4511497,68,319,Portachuelo,S,,1626079,portachuelo,BO-S-Portachuelo,,"{""area_sr"": 0.09199, ""area_km2"": 1082, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 32.9, ""side_estim_deg"": 0.3033, ""elongation_factor"": 1.96}"
4511478,68,314,"Postrer Valle",S,,918680,postrer.valle,BO-S-PostrerValle,,"{""area_sr"": 0.10314, ""area_km2"": 1205, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 34.7, ""side_estim_deg"": 0.3212, ""elongation_factor"": 2.34}"
4511479,68,315,Pucará,S,,1108166,pucara,BO-S-Pucara,,"{""area_sr"": 0.05848, ""area_km2"": 683, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 26.1, ""side_estim_deg"": 0.2418, ""elongation_factor"": 1.87}"
4511327,68,294,"Puerto Quijarro",S,,1108256,puerto.quijarro,BO-S-PuertoQuijarro,,"{""area_sr"": 0.12334, ""area_km2"": 1441, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 38, ""side_estim_deg"": 0.3512, ""elongation_factor"": 3.42}"
4511328,68,295,"Puerto Suárez",S,,1014456,puerto.suarez,BO-S-PuertoSuarez,,"{""area_sr"": 1.07182, ""area_km2"": 12488, ""fat_deg_m"": 0.0000093, ""side_estim_km"": 111.7, ""side_estim_deg"": 1.0353, ""elongation_factor"": 2.54}"
4511439,68,311,Quirusillas,S,,1108303,quirusillas,BO-S-Quirusillas,,"{""area_sr"": 0.02099, ""area_km2"": 245, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 15.7, ""side_estim_deg"": 0.1449, ""elongation_factor"": 1.97}"
4511316,68,11,Roboré,S,,1108292,robore,BO-S-Robore,,"{""area_sr"": 0.6266, ""area_km2"": 7336, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 85.7, ""side_estim_deg"": 0.7916, ""elongation_factor"": 1.76}"
4511409,68,308,Saipina,S,,1108162,saipina,BO-S-Saipina,,"{""area_sr"": 0.04184, ""area_km2"": 490, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 22.1, ""side_estim_deg"": 0.2046, ""elongation_factor"": 2.19}"
4511440,68,312,Samaipata,S,,1108155,samaipata,BO-S-Samaipata,,"{""area_sr"": 0.18402, ""area_km2"": 2155, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 46.4, ""side_estim_deg"": 0.429, ""elongation_factor"": 2.52}"
4511273,68,3,"San Antonio de Lomerio",S,,1108298,san.antonio.lomerio,BO-S-SanAntonioLomerio,,"{""area_sr"": 0.21219, ""area_km2"": 2503, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 50, ""side_estim_deg"": 0.4606, ""elongation_factor"": 1.54}"
4511393,68,304,"San Carlos",S,,507108,san.carlos,BO-S-SanCarlos,,"{""area_sr"": 0.09933, ""area_km2"": 1169, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 34.2, ""side_estim_deg"": 0.3152, ""elongation_factor"": 2.53}"
4511303,68,7,"San Ignacio de Velasco",S,,916322,san.ignacio.velasco,BO-S-SanIgnacioVelasco,,"{""area_sr"": 4.11432, ""area_km2"": 48949, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 221.2, ""side_estim_deg"": 2.0284, ""elongation_factor"": 2.21}"
4511274,68,4,"San Javier",S,,1531880,san.javier,BO-S-SanJavier,,"{""area_sr"": 0.28607, ""area_km2"": 3385, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 58.2, ""side_estim_deg"": 0.5349, ""elongation_factor"": 1.59}"
4511317,68,12,"San José de Chiquitos",S,,1108177,san.jose.chiquitos,BO-S-SanJoseChiquitos,,"{""area_sr"": 1.62617, ""area_km2"": 19099, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 138.2, ""side_estim_deg"": 1.2752, ""elongation_factor"": 1.49}"
4511394,68,305,"San Juan",S,,1108226,san.juan,BO-S-SanJuan,,"{""area_sr"": 0.15192, ""area_km2"": 1792, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 42.3, ""side_estim_deg"": 0.3898, ""elongation_factor"": 6.56}"
4511275,68,5,"San Julián",S,,204307,san.julian,BO-S-SanJulian,,"{""area_sr"": 0.4858, ""area_km2"": 5732, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 75.7, ""side_estim_deg"": 0.697, ""elongation_factor"": 2.03}"
4511329,68,296,"San Matías",S,,1107968,san.matias,BO-S-SanMatias,,"{""area_sr"": 2.29188, ""area_km2"": 26975, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 164.2, ""side_estim_deg"": 1.5139, ""elongation_factor"": 1.61}"
4511304,68,8,"San Miguel de Velasco",S,,1486932,san.miguel.velasco,BO-S-SanMiguelVelasco,,"{""area_sr"": 0.80912, ""area_km2"": 9543, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 97.7, ""side_estim_deg"": 0.8995, ""elongation_factor"": 1.76}"
4511512,68,325,"San Pedro",S,,668846,san.pedro,BO-S-SanPedro,,"{""area_sr"": 0.26138, ""area_km2"": 3088, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 55.6, ""side_estim_deg"": 0.5113, ""elongation_factor"": 3.65}"
4511305,68,9,"San Rafael",S,,1108286,san.rafael,BO-S-SanRafael,,"{""area_sr"": 0.82359, ""area_km2"": 9716, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 98.6, ""side_estim_deg"": 0.9075, ""elongation_factor"": 1.31}"
4511276,68,6,"San Ramón",S,,1108183,san.ramon,BO-S-SanRamon,,"{""area_sr"": 0.04171, ""area_km2"": 493, ""fat_deg_m"": 0.0000092, ""side_estim_km"": 22.2, ""side_estim_deg"": 0.2042, ""elongation_factor"": 2.63}"
